Date_Time,open,high,low,close,volume
2019-05-03,77.74,79.18,77.74,79.15,7554437
2019-05-02,76.67,78.05,75.87,77.38,4882974
2019-05-01,75.64,78.2969,75.54,76.84,6845398
2019-04-30,75.53,76.43,74.75,75.39,4529465
2019-04-29,75.82,76.44,75.72,75.99,3518819
2019-04-26,76.44,76.68,75.53,76.12,3279169
2019-04-25,75.21,76.51,74.88,76.49,3135044
2019-04-24,75.96,76.04,75.09,75.43,3021738
2019-04-23,75.54,76.535,75.37,76.07,2418256
2019-04-22,75.28,75.8,74.73,75.37,3534667
2019-04-18,76.13,76.13,75.34,75.98,12545564
2019-04-17,75.7,76.2,75.26,76.11,2595090
2019-04-16,74.88,75.3,74.47,75.18,4131212
2019-04-15,76.6,76.6,74.26,74.37,7181077
2019-04-12,75.6,77.03,75.6,76.68,4768652
2019-04-11,75.45,75.45,74.66,75.09,5830724
2019-04-10,75.5,75.84,74.59,75.39,7417488
2019-04-09,74.28,75.73,73.63,75.62,15916302
2019-04-08,73.65,74.78,73.58,74.46,16611754
2019-04-05,73.47,74.51,73.47,74.01,15225439
2019-04-04,72,73.69,71.97,73.24,11346087
2019-04-03,72.85,73.74,72.38,72.76,23561270
2019-04-02,73.58,74.55,73.5,73.94,3234204
2019-04-01,74.95,75.17,73.56,73.63,4993018
2019-03-29,73.18,74.19,72.91,74.12,8789347
2019-03-28,72.37,72.81,71.8,72.52,5140036
2019-03-27,72.54,73.18,72.17,72.34,4686477
2019-03-26,73.12,73.46,72.13,72.56,4177202
2019-03-25,71.65,72.88,71.33,72.74,3870429
2019-03-22,73.06,73.35,71.72,72.01,10739495
2019-03-21,73.28,74.09,72.93,73.73,9702568
2019-03-20,73.67,74,72.88,73.76,6965308
2019-03-19,73.78,74.435,73.56,73.95,4877226
2019-03-18,74.03,74.3769,73.52,73.78,3755282
2019-03-15,73.82,73.98,73.36,73.64,5742157
2019-03-14,73.31,73.79,72.82,73.47,3983081
2019-03-13,73.76,74.36,73.25,73.64,2738688
2019-03-12,74,74.16,73.25,73.59,3105008
2019-03-11,72.65,74.01,72.51,73.47,14086002
2019-03-08,70.66,71.84,70.52,71.75,7954834
2019-03-07,74.16,74.21,72.18,72.57,8530269
2019-03-06,75.68,75.68,74.47,74.79,7351510
2019-03-05,75.96,76.26,75.08,75.12,7028982
2019-03-04,75.7,76.18,74.95,76.01,5636860
2019-03-01,75,75.66,74.66,74.96,5033084
2019-02-28,74.37,74.95,73.65,74.59,11186470
2019-02-27,73.77,74.87,73.62,74.73,6840629
2019-02-26,72.88,74.66,72.5977,74.25,4250382
