Date_Time,open,high,low,close,volume
2019-05-03,1173.65,1186.8,1169.4308,1185.4,1786920
2019-05-02,1167.76,1174.19,1155,1162.61,1942931
2019-05-01,1188.05,1188.05,1167.18,1168.08,2642983
2019-04-30,1185,1192.81,1175,1188.48,6207027
2019-04-29,1274,1289.27,1266.29,1287.58,2499432
2019-04-26,1269,1273.07,1260.32,1272.18,1241428
2019-04-25,1264.77,1267.41,1252.03,1263.45,1107295
2019-04-24,1264.12,1268.01,1255,1256,1018753
2019-04-23,1250.69,1269,1246.38,1264.55,1319910
2019-04-22,1235.99,1249.09,1228.31,1248.84,807334
2019-04-18,1239.18,1242,1234.61,1236.37,1331823
2019-04-17,1233,1240.56,1227.82,1236.34,1221930
2019-04-16,1225,1230.82,1220.12,1227.13,856304
2019-04-15,1218,1224.2,1209.11,1221.1,1187519
2019-04-12,1210,1218.35,1208.11,1217.87,933794
2019-04-11,1203.96,1207.96,1200.13,1204.62,710231
2019-04-10,1200.68,1203.79,1196.43,1202.16,724643
2019-04-09,1196,1202.29,1193.08,1197.25,876381
2019-04-08,1207.89,1208.69,1199.86,1203.84,860363
2019-04-05,1214.99,1216.22,1205.03,1207.15,907152
2019-04-04,1205.94,1215.67,1204.13,1215,950747
2019-04-03,1207.48,1216.3,1200.5,1205.92,1017838
2019-04-02,1195.32,1201.35,1185.71,1200.49,827973
2019-04-01,1184.1,1196.66,1182,1194.43,1252757
2019-03-29,1174.9,1178.99,1162.88,1173.31,1269979
2019-03-28,1171.54,1171.57,1159.43,1168.49,1012430
2019-03-27,1185.5,1187.56,1159.37,1173.02,1400240
2019-03-26,1198.53,1202.83,1176.72,1184.62,1901156
2019-03-25,1196.93,1206.4,1187.04,1193,1496843
2019-03-22,1226.32,1230,1202.83,1205.5,1714247
2019-03-21,1216,1231.79,1213.15,1231.54,1204045
2019-03-20,1197.35,1227.14,1196.17,1223.97,2227786
2019-03-19,1188.81,1200,1185.87,1198.85,1520688
2019-03-18,1183.3,1190,1177.42,1184.26,1292633
2019-03-15,1193.38,1196.57,1182.61,1184.46,2459957
2019-03-14,1194.51,1197.88,1184.48,1185.55,1172815
2019-03-13,1200.64,1200.93,1191.94,1193.32,1435936
2019-03-12,1178.26,1200,1178.26,1193.2,2013115
2019-03-11,1144.45,1176.19,1144.45,1175.76,1719192
2019-03-08,1126.73,1147.08,1123.3,1142.32,1212489
2019-03-07,1155.72,1156.76,1134.91,1143.3,1166559
2019-03-06,1162.49,1167.57,1155.49,1157.86,1099289
2019-03-05,1150.06,1169.61,1146.19,1162.03,1443174
2019-03-04,1146.99,1158.28,1130.69,1147.8,1446047
2019-03-01,1124.9,1142.97,1124.75,1140.99,1450316
2019-02-28,1111.3,1127.65,1111.01,1119.92,1542609
2019-02-27,1106.95,1117.98,1101,1116.05,968760
2019-02-26,1105.75,1119.51,1099.92,1115.13,1471743
2019-02-25,1116,1118.54,1107.27,1109.4,1413061
2019-02-22,1100.9,1111.24,1095.6,1110.37,1049545
2019-02-21,1110.84,1111.94,1092.52,1096.97,1415473
