Date_Time,open,high,low,close,volume
2019-05-03,51.08,51.82,50.73,51.75,23200975
2019-05-02,50.8,51.325,50.12,50.55,22640849
2019-05-01,51.1,51.6,50.74,50.76,20467582
2019-04-30,51,51.43,50.87,51.04,27130855
2019-04-29,52.17,52.43,51,51.11,42142301
2019-04-26,52.74,53.09,51.52,52.43,72364512
2019-04-25,58.3,58.38,57.23,57.61,27949926
2019-04-24,58.52,59.2899,58.14,58.72,17723745
2019-04-23,58.89,58.98,58.5,58.78,17739929
2019-04-22,58.15,58.83,57.88,58.82,12327484
2019-04-18,58.71,58.88,58.1238,58.49,20464197
2019-04-17,58.44,59.59,58.12,58.56,38788448
2019-04-16,56.66,57.47,56.07,56.71,30301933
2019-04-15,56.46,56.555,55.92,56.28,11676910
2019-04-12,56.21,56.49,55.84,56.42,12910185
2019-04-11,55.76,56.07,55.63,55.8,10845819
2019-04-10,55.32,55.86,55.32,55.75,13084042
2019-04-09,55.35,55.43,54.9,55.32,13339677
2019-04-08,55.28,55.74,55.2,55.68,11758823
2019-04-05,55.75,55.95,54.87,55.6,19268396
2019-04-04,55.27,56.14,55.27,55.92,16520453
2019-04-03,55.03,55.99,54.89,55.48,24552838
2019-04-02,54.53,54.8,54.225,54.36,13704511
2019-04-01,54.34,54.57,54.1,54.51,17830437
2019-03-29,53.8,54.04,53.48,53.7,18736074
2019-03-28,53.25,53.44,52.77,53.11,13607888
2019-03-27,53.59,53.86,52.94,53.16,19655973
2019-03-26,53.32,53.77,53.04,53.44,17724346
2019-03-25,52.97,53.545,52.375,52.78,16971406
2019-03-22,54.4,54.615,53.21,53.26,21438435
2019-03-21,53.92,54.99,53.84,54.64,19127216
2019-03-20,54.06,54.4,53.61,53.82,24325283
2019-03-19,54.47,54.645,54,54.17,18274766
2019-03-18,54.42,54.505,53.87,54.1,16273986
2019-03-15,53.68,54.69,53.68,54.33,46485239
2019-03-14,54.3,54.45,53.33,53.44,26647060
2019-03-13,54,54.57,53.65,54.37,25522312
2019-03-12,53.34,53.96,53.175,53.57,20782077
2019-03-11,52.88,53.65,52.57,53.35,18962954
2019-03-08,51.97,52.56,51.7,52.48,16793891
2019-03-07,52.77,52.985,52.36,52.6,17803407
2019-03-06,53.63,53.65,52.94,52.95,14740525
2019-03-05,53.85,53.99,53.11,53.68,21057745
2019-03-04,53.75,54.1,53.205,53.94,21706135
2019-03-01,53.44,53.68,52.89,53.3,18359325
2019-02-28,52.92,53.18,52.81,52.96,18388820
2019-02-27,52.76,53.38,52.51,53.24,17590309
2019-02-26,53.01,53.37,52.91,53.23,16082213
2019-02-25,53.06,53.61,52.86,53.1,20711750
2019-02-22,52.7,52.975,52.055,52.49,31934146
2019-02-21,51.32,51.84,51.21,51.41,16162142
2019-02-20,51.63,51.73,51.06,51.39,21607726
2019-02-19,51.35,51.71,51.34,51.4,15611772
2019-02-15,51.25,51.67,51.09,51.66,22520361
2019-02-14,50.41,51.04,50.35,50.81,17545365
2019-02-13,50.13,50.81,50,50.47,17712782
2019-02-12,49.36,50.14,49.27,50.01,18050058
2019-02-11,49.02,49.32,48.58,48.77,18004088
2019-02-08,48.77,49.02,48.01,48.84,18851208
2019-02-07,49.5,49.85,48.68,49.23,27825875
2019-02-06,49.95,50.64,49.82,49.9,21647843
2019-02-05,49.18,50.7159,49.18,50.01,31641570
2019-02-04,48.62,49.24,48.24,49.22,20905010
2019-02-01,47.06,49.05,47.01,48.73,37442926
2019-01-31,46.7,47.18,46.1,47.12,43051306
2019-01-30,46.68,47.68,46.45,47.54,26931676
2019-01-29,46.78,46.97,46.33,46.54,20988342
2019-01-28,46.13,46.73,46.05,46.71,35928704
2019-01-25,46.85,47.43,45.75,47.04,86471848
2019-01-24,48.7,50.035,48.6,49.76,50578269
2019-01-23,48.41,48.8,47.52,47.94,18960709
2019-01-22,48.96,48.98,47.87,48.27,25940722
2019-01-18,49.11,49.38,48.69,49.19,29874317
2019-01-17,48,48.84,47.905,48.47,17448657
2019-01-16,48.6,48.89,48.08,48.13,19057707
