Date_Time,open,high,low,close,volume
2019-05-03,183.53,183.93,180.53,183.01,7865242
2019-05-02,180.86,184.87,179.115,183.19,9854720
2019-05-01,183.11,184.81,180.46,180.47,8857031
2019-04-30,178.03,182.03,177.26,181,9073040
2019-04-29,178.41,180.45,175.5,179.33,9797983
2019-04-26,180.71,180.8876,173.3,178.09,21724729
2019-04-25,189.55,190.45,183.7,186.91,12482437
2019-04-24,191.09,192.81,188.64,191.17,7955120
2019-04-23,189,191.93,188.61,190.67,8671381
2019-04-22,185.35,189.1,184.08,188.47,6998388
2019-04-18,187.56,188.93,185.18,186.3,9524704
2019-04-17,189.62,190.46,186.39,187.29,8775068
2019-04-16,186.28,188.97,184.9641,188.21,9874091
2019-04-15,189.7,189.9,183.1,184.7,11002345
2019-04-12,193.1,193.26,189.66,190.01,11792664
2019-04-11,192.2,193.47,189.55,191.54,9365037
2019-04-10,189.23,193.14,189.05,192.1,11119307
2019-04-09,190.44,190.89,187.56,189.26,10999320
2019-04-08,189.72,192.8,188.75,191.79,10604848
2019-04-05,190,191.65,188.53,190.95,12043649
2019-04-04,188,189.97,185.73,188.26,11434419
2019-04-03,185,191,184.8,188.62,19719468
2019-04-02,183.25,184.7887,181.52,183,11022996
2019-04-01,183.26,183.5,180.3745,182.28,12095612
2019-03-29,179.94,180.54,177.91,179.56,11422379
2019-03-28,177.55,179.9,175.11,177.25,12006602
2019-03-27,177.9,179.77,173.7,176.5,11859294
2019-03-26,179.489,181.75,174.5969,176.87,17587678
2019-03-25,175.86,178.45,171.11,173.78,13130301
2019-03-22,182.84,184.7997,176.94,177.5,18691087
2019-03-21,175.33,185,175.13,183.94,20607767
2019-03-20,176.88,179.03,173,174.4,17978715
2019-03-19,172.76,177.5,172.08,175.71,21374310
2019-03-18,171.08,173.25,167.8577,168.95,12174829
2019-03-15,167.3,171.53,167.16,169.81,16536482
2019-03-14,168.99,169.47,165.25,165.56,12984630
2019-03-13,164.03,169.8,163.73,168.62,19222518
2019-03-12,162.26,164.39,159.19,162.52,14489368
2019-03-11,151.59,162.06,149.69,161.14,21493150
2019-03-08,145.66,151.07,144.8,150.64,10560371
2019-03-07,151.1,151.49,147.4001,149.26,11252633
2019-03-06,156.16,156.5,151.94,152.05,10088149
2019-03-05,156.15,158.0571,153.96,156.52,9073119
2019-03-04,158,158.92,154.5,156.78,10249750
2019-03-01,156.27,158.1489,153.92,156.45,8929678
2019-02-28,155,155.9,153.36,154.26,8123565
2019-02-27,156.52,157.59,153.11,155.41,12506381
2019-02-26,158.5,160.76,155.75,157.1,12211571
2019-02-25,162.56,165.28,158.34,158.69,16400481
2019-02-22,157.86,159.95,157.31,159.19,10043531
2019-02-21,159.06,160.05,155.18,155.77,11213668
2019-02-20,157.82,161.26,157.37,158.55,13524737
2019-02-19,156.91,159.89,156.14,156.64,13797316
2019-02-15,162.95,163.87,156.42,157.34,37918734
2019-02-14,152.84,155.665,151.1,154.53,20681574
2019-02-13,152.36,155.83,151.81,152.88,15134302
2019-02-12,148,151.8,147.42,151.17,14776513
2019-02-11,146.39,148.58,144.5,146.45,12379515
2019-02-08,144.71,148.6,144.13,148.17,11540137
2019-02-07,151.128,151.22,145.69,147.42,15928000
2019-02-06,151.29,155.6,151.07,153,17561647
2019-02-05,149.66,151.43,148.3,149.95,13560625
2019-02-04,145.37,150.68,144.48,149.18,13215018
2019-02-01,144.5,146.79,142.58,144.73,15626175
2019-01-31,137.26,145.19,136.3832,143.75,21071338
2019-01-30,134.67,137.97,131.46,137.39,24355739
2019-01-29,136.15,138.1,131.01,131.6,28848347
2019-01-28,136.55,141.64,131,138.01,62788169
2019-01-25,155.44,160.88,151.3,160.15,28880547
2019-01-24,152.7,158.55,152.51,157.84,17724261
2019-01-23,151,154.58,148.03,149.29,14775545
2019-01-22,155.71,156.18,147.5507,148.77,16538776
2019-01-18,153.73,157.98,151.65,156.93,16283423
2019-01-17,147.51,153.33,146.41,151.72,12335905
2019-01-16,150.97,152.3,148.615,148.84,11752592
2019-01-15,151.76,153.35,149.13,149.87,15425251
2019-01-14,146.72,151.46,145.77,150.44,18254249
2019-01-11,144.33,149.75,143.21,148.83,21869066
2019-01-10,141.8,145.58,139.36,145.23,13078906
2019-01-09,141.9,144.49,139.86,142.58,15431475
2019-01-08,146.69,146.78,136.9,139.83,19650429
2019-01-07,138.5,144.89,136.43,143.4,17728980
2019-01-04,130.94,137.73,129.7,136.19,14640483
2019-01-03,133.79,135.16,127.6932,127.99,17638786
2019-01-02,130.64,138.48,130.05,136.22,12718840
2018-12-31,135.4,136.71,132.26,133.5,11628503
2018-12-28,132,137.39,130.31,133.65,15712319
2018-12-27,130.99,132.38,125.18,131.17,15926080
2018-12-26,128.94,133.14,124.46,133.1,17377484
2018-12-24,126.49,129.9799,124.5,127.08,11595978
2018-12-21,136.17,137.5,128.46,129.57,21593525
2018-12-20,138.17,141.8,132.688,135.1,18739697
2018-12-19,145.58,147.7445,136.43,138.51,18634147
2018-12-18,145.35,150.33,144.25,146.94,14109251
2018-12-17,145.24,148.15,141.24,143.58,16571683
2018-12-14,147.21,150.59,145.5,146.45,11795531
2018-12-13,150.79,153.38,147.44,148.89,11784624
2018-12-12,148.42,152.78,144.82,148.9,16353398
2018-12-11,155.56,155.89,145,148.19,16797832
2018-12-10,145.8,152.8599,145.65,151.86,15736835
2018-12-07,158.46,158.87,145.616,147.61,17041949
2018-12-06,151.44,158.492,150.81,158.29,17307741
2018-12-04,168.24,168.44,156.5,157.11,20302787
2018-12-03,172.6,174.68,167.34,170.04,22270109
2018-11-30,157.75,163.8599,155.72,163.43,18239114
2018-11-29,160,161.5,156.14,157.36,13729340
2018-11-28,158.48,160.28,153.125,160.07,20113137
2018-11-27,152,157.01,150.55,153.73,18451506
2018-11-26,149.89,153.47,146.56,153.05,20370806
2018-11-23,143.31,149.59,142.7892,145,10299211
2018-11-21,154.62,155.3,143.61,144.71,25637350
2018-11-20,134.06,154.26,133.31,149.08,42300828
2018-11-19,161.79,161.82,144.63,144.7,42445505
2018-11-16,163.32,170.66,161.61,164.43,49087977
2018-11-15,196.95,205.3,195.5,202.39,21017716
2018-11-14,206.3,206.88,192.8302,197.19,13164471
2018-11-13,193.49,204.21,193.2369,199.31,16117775
2018-11-12,201.98,202.87,188.66,189.54,15427947
2018-11-09,202.4,209.32,201.04,205.67,10331049
2018-11-08,211.4,211.43,203.83,205.99,12783823
2018-11-07,213.75,217.41,211.18,213.79,12095301
2018-11-06,211.45,214.85,209.5648,211.06,7475259
2018-11-05,214.39,215.33,205.28,211.77,9483260
2018-11-02,217.73,222,210.2108,214.92,11324002
2018-11-01,212.3,218.49,207.19,218.11,14163208
2018-10-31,209.65,212.59,204.01,210.83,18644304
2018-10-30,186.55,203.4,185.62,203,20179768
2018-10-29,203.99,204.13,176.01,185.62,18950441
2018-10-26,198.31,204.842,193.12,198.29,16619628
2018-10-25,195.47,209.75,193.6815,207.84,23793040
2018-10-24,219.51,221.39,198.85,199.41,22107199
2018-10-23,220.43,224.19,216.71,221.06,15660945
2018-10-22,231.28,235.32,227.07,231.22,9221091
2018-10-19,241.76,242.55,227.7,229.17,15340249
2018-10-18,245.86,247.41,237.09,239.53,13100548
2018-10-17,248.34,249.88,241.08,243.06,8241701
2018-10-16,239.93,246.28,237.94,245.83,10217795
2018-10-15,246,246,235.34,235.38,11244032
2018-10-12,245.5066,249.5412,239.65,246.54,15205917
2018-10-11,242.17,247.56,234.261,235.13,18135929
2018-10-10,261.26,263.11,245.6,245.69,17123454
2018-10-09,264.94,268.76,262.8,265.54,6837493
2018-10-08,266.5,271.16,260.08,265.77,10215265
2018-10-05,278.29,280.8,267.54,269.86,10665861
2018-10-04,285.27,286.25,276.18,279.29,9780489
2018-10-03,289.32,289.62,282.53,286.73,8013769
2018-10-02,288.25,292.76,285.58,286.48,9599118
2018-10-01,284.16,292.06,282.6,289.36,15551453
2018-09-28,272.73,281.9152,271.6,281.02,17734914
2018-09-27,268.34,269.2,266.1295,267.4,5360717
2018-09-26,268.61,270.24,266.28,266.92,6713688
2018-09-25,268.37,269.42,264.91,268.41,7009746
2018-09-24,262.2,265.84,258.68,265.7,7347826
2018-09-21,266.76,268.6,262.11,263.45,10878157
2018-09-20,267.05,268.76,264.1,266.28,10764569
2018-09-19,270.2725,272.699,268.25,271.98,5621465
2018-09-18,274.09,278.24,270.75,271.02,7488023
2018-09-17,275.4019,277.38,273.15,273.93,5138189
2018-09-14,274.99,279.1,273.5,276.43,9673380
2018-09-13,270.86,275,270.161,271.34,7638387
2018-09-12,271.19,271.98,261.92,268.2,10477259
2018-09-11,272.86,276.3999,272.02,272.8,6077818
2018-09-10,272.77,275.93,271,274.73,5503457
2018-09-07,269,276.93,267.19,271.86,7385468
2018-09-06,277.76,277.86,271.391,272.72,8069889
2018-09-05,282.99,284.42,275.15,278.42,9828919
2018-09-04,280.15,285.22,279,283.7,9793027
2018-08-31,277,281.2,276.6,280.68,7664750
2018-08-30,277.23,281.717,276.32,277.81,8665230
2018-08-29,273.92,279.5,273.08,278.49,10502741
2018-08-28,275.66,276.58,269.53,274.38,11884595
2018-08-27,273.42,278.9,272.145,275.9,12644437
2018-08-24,267.18,272.81,267,272.22,13287762
2018-08-23,261.26,269.48,260.7012,266.84,18017114
2018-08-22,252,263.02,251.86,262.82,18746422
2018-08-21,248.5,253.5,247.7,253.32,16849710
2018-08-20,243.18,253.2,238.72,247.84,21359655
2018-08-17,252.94,252.97,243.73,244.82,28579694
2018-08-16,261.9,262,255.01,257.44,20031476
2018-08-15,262.27,263.639,255.9,259.08,14778394
2018-08-14,260.38,262,257.02,261.43,11655486
2018-08-13,255.14,261,255.07,256.12,9380158
2018-08-10,253.15,256.1,252.7,254.79,6415668
2018-08-09,259.14,259.25,256.15,256.46,5106962
2018-08-08,257,260.24,255.59,258.42,6552462
2018-08-07,256,257.7,254.9201,256.95,6453260
2018-08-06,251.59,254.17,249.7059,254.03,5187665
2018-08-03,251.61,253.06,250.93,252.1,5357202
2018-08-02,243.59,250.78,241.21,250.62,6741689
2018-08-01,246.13,248.3599,243.886,246.47,7088889
2018-07-31,243.71,247.88,242.1411,244.86,7099696
2018-07-30,252.59,252.83,242.72,244.13,8508539
2018-07-27,256.32,256.6,249.84,252.02,7385535
2018-07-26,251.06,256.33,250.38,254.84,8128128
2018-07-25,249.09,252.38,246.75,251.87,8004551
2018-07-24,251.35,254.85,248,248.71,8865545
2018-07-23,249.82,249.89,243.28,249.41,7539621
2018-07-20,251.93,253.5,250.45,250.89,5562161
2018-07-19,250.94,253.39,250.33,252.03,5893783
2018-07-18,253.39,253.95,249.64,251.7,6941041
2018-07-17,246.21,254.3,245.18,253.69,9053395
2018-07-16,248.2,250.34,247.7,248.2,4925926
2018-07-13,251.98,251.98,247.62,249.32,6179078
2018-07-12,249.36,253.17,248.96,251.23,8637673
2018-07-11,249.5,250.9,247.1,247.53,9187660
2018-07-10,249.75,254.14,248.12,253.25,9000390
2018-07-09,250.3297,250.72,246.0707,249.25,7597022
2018-07-06,241.74,247.665,240.88,247.33,7408822
2018-07-05,239.07,242.93,237.5,242.73,7655448
2018-07-03,243.64,243.88,236.5,236.84,5568325
2018-07-02,234.09,242.39,233.2649,242.24,8939348
2018-06-29,243.49,244,236.85,236.9,9807477
2018-06-28,235.32,241.34,235.01,240.86,8450297
2018-06-27,243.75,246.43,235.5,235.72,11347303
2018-06-26,243.7,245.65,239.9101,241.99,11972137
2018-06-25,246.65,246.8,235.54,239.12,16645431
